folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,proagro,mesproc,progan,mesprogan,nvo_apoyo,nvo_prog1,nvo_act1,nvo_cant1,nvo_prog2,nvo_act2,nvo_cant2,nvo_prog3,nvo_act3,nvo_cant3,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
0160312301,1,03,2,5,1,1,2,,,,,,,,,4,1,1,0,0, , ,1,1,0,0, , ,72000, ,2, , , , , , , , ,8000,05, ,,2, , , , , , , , , ,2,3,10000,2500,0,23500,2445.65,611.41,0,5747.28,0,2688.26
0160312303,1,01,2,4,1,,2,,,,,,,,,5,1,1,0,1,1,0,0, , ,0, , , ,17000,2, , , , , , , , ,8000,05, ,,1,2011,4,1200, , , , , , ,2,3,0,0,0,10100,0,0,0,2470.1,0,2468.15
0160312306,1,02,1,4,1,,2,,,,,,,,,2,2,2,0,0, , ,0, , ,2,2,0, ,20000,2, , , , , , , , ,8000,05, ,,1,2011,4,1500, , , , , , ,2,4,0,0,0,8200,0,0,0,2005.43,0,2004.45
0160312509,1,01,1,5,1,1,2,,,,,,,,,5,0, , , , , , , , , , , , , ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,23424,0,50120,0,5728.69,0,12257.6,0,6526.95
0160312713,1,01,2,4,1,,2,,,,,,,,,6,2,2,0,1,1,0,1,1,0,0, , , , ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,15000,0,0,0,3688.52,0,3688.52
0160312713,1,01,2,5,1,1,2,,,,,,,,,6,0, , , , , , , , , , , ,155000,33000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,705600,0,0,0,173508.19,0,0,0,173508.19,0
0160312714,1,01,2,5,1,2,2,,,,,,,,,6,0, , , , , , , , , , , ,28800, ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,0,0,0,0,0,0,0
0160313206,1,01,1,4,1,,2,,,,,,,,,6,0, , , , , , , , , , , , ,10000,1, , , , ,3000, , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,44000,0,0,0,10879.12,0,10877.14
0160313408,1,01,1,5,1,1,2,,,,,,,,,6,1,1,0,0, , ,1,1,0,0, , ,432000,20000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,949168,1272,0,484400,232133.47,311.08,0,118467.39,113975.21,0
0160313409,1,01,1,5,1,1,1,,2,,,,,,,,1,1,0,1,1,0,0, , ,0, , ,947000,128000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,1862050,0,0,872750,455392.66,0,0,213444.29,241946.41,0
0160313412,1,01,1,5,1,1,2,,,,,,,,,3,3,1,2,0, , ,3,1,2,0, , ,156100,11000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,1383330,27769,0,955738,338314.4,6791.33,0,233740.27,111363.26,0
0160313618,1,04,1,4,1,,2,,,,,,,,,6,1,1,0,1,1,0,0, , ,0, , , ,150000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,12600,0,0,0,3098.36,0,3098.36
0160313618,1,04,1,5,1,1,2,,,,,,,,,6,1,1,0,1,1,0,0, , ,0, , ,264000,90000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,291600,5760,0,558500,71704.91,1416.39,0,137336.06,0,64212.78
