folioviv,foliohog,numren,id_trabajo,tipoact,clave,gasto
0160312713,1,01,2,4,B07,5000
0160312713,1,01,2,4,B00,15000
0160313206,1,01,1,4,B00,44000
0160313206,1,01,1,4,B07,14000
0160313206,1,01,1,4,B10,15000
0160313206,1,01,1,4,B11,5000
0160313206,1,01,1,4,B06,10000
0160313408,1,01,1,5,C00,484400
0160313408,1,01,1,5,C08,424000
0160313408,1,01,1,5,C06,42400
0160313408,1,01,1,5,C04,12000
0160313408,1,01,1,5,C10,4000
0160313408,1,01,1,5,C09,2000
0160313409,1,01,1,5,C09,850
0160313409,1,01,1,5,C08,641300
0160313409,1,01,1,5,C03,15000
0160313409,1,01,1,5,C00,872750
0160313409,1,01,1,5,C19,62100
0160313409,1,01,1,5,C10,24000
0160313409,1,01,1,5,C13,79500
0160313409,1,01,1,5,C16,50000
0160313412,1,01,1,5,C10,12000
0160313412,1,01,1,5,C09,15000
0160313412,1,01,1,5,C08,855738
0160313412,1,01,1,5,C06,53000
0160313412,1,01,1,5,C05,13000
0160313412,1,01,1,5,C00,955738
0160313412,1,01,1,5,C04,7000
0160313618,1,04,1,5,C06,48000
0160313618,1,04,1,5,C04,2000
0160313618,1,04,1,5,C00,558500
0160313618,1,04,1,4,B11,1600
0160313618,1,04,1,4,B00,12600
0160313618,1,04,1,4,B07,6000
0160313618,1,04,1,4,B06,5000
0160313618,1,04,1,5,C19,20000
0160313618,1,04,1,5,C13,96000
0160313618,1,04,1,5,C10,1500
0160313618,1,04,1,5,C08,384000
0160313618,1,04,1,5,C09,7000
0160313919,1,01,1,5,C00,935000
0160313919,1,01,1,4,B00,200000
0160313919,1,01,1,4,B15,80000
0160313919,1,01,1,4,B11,30000
0160313919,1,01,1,4,B10,30000
0160313919,1,01,1,4,B21,20000
0160313919,1,01,1,4,B02,20000
0160313919,1,01,1,5,C09,24000
0160313919,1,01,1,5,C01,35000
0160313919,1,01,1,5,C06,12000
0160313919,1,01,1,5,C08,864000
0160313919,1,01,1,4,B07,20000
0160313920,1,01,1,4,B11,3000
0160313920,1,01,1,4,B15,3000
0160313920,1,01,1,5,C00,288600
0160313920,1,01,1,5,C06,17500
0160313920,1,01,1,5,C08,262800
0160313920,1,01,1,5,C10,1500
0160313920,1,01,1,5,C19,6800
0160313920,1,01,1,4,B00,17000
0160313920,1,01,1,4,B02,7000
0160313920,1,01,1,4,B07,4000
0160313921,1,01,1,5,C08,31500
0160313921,1,01,1,5,C10,1000
0160313921,1,01,1,5,C06,7200
0160313921,1,01,1,5,C00,39700
0160313924,1,01,1,5,C09,30000
0160313924,1,01,1,5,C06,28000
0160313924,1,01,1,5,C08,1051200
0160313924,1,01,1,5,C00,1109200
0160314019,1,01,1,5,C08,96000
0160314019,1,01,1,5,C00,102000
0160314019,1,01,1,5,C10,6000
0160314022,1,01,1,4,B11,35000
0160314022,1,01,1,4,B06,12000
0160314022,1,01,1,4,B02,70000
0160314022,1,01,1,4,B00,172000
0160314022,1,01,1,4,B10,35000
0160314022,1,01,1,4,B07,20000
0160314511,1,01,1,4,B10,141000
0160314511,1,01,1,4,B05,10000
0160314511,1,01,1,4,B00,316900
0160314511,1,01,1,5,C10,500
0160314511,1,01,1,5,C09,200
0160314511,1,01,1,5,C08,14700
0160314511,1,01,1,4,B01,58500
0160314511,1,01,1,4,B04,2000
0160314511,1,01,1,4,B07,42400
0160314511,1,01,1,4,B06,17000
0160314511,1,01,1,4,B11,28000
0160314511,1,01,1,4,B15,18000
0160314511,1,01,1,5,C00,23400
0160314511,1,01,1,5,C07,8000
0160314815,1,02,2,5,C00,67990
0160314815,1,02,2,5,C08,67990
0160315203,1,01,1,5,C08,60000
0160315203,1,01,1,5,C00,60000
0160315203,1,01,1,4,B07,3000
0160315203,1,01,1,4,B00,3000
0160315205,1,01,1,4,B01,9000
0160315205,1,01,1,4,B06,15000
0160315205,1,01,1,4,B07,6000
0160315205,1,01,1,4,B10,6000
0160315205,1,01,1,4,B11,1200
0160315205,1,01,1,5,C00,404000
0160315205,1,01,1,4,B00,37200
0160315205,1,01,1,5,C01,20000
0160315205,1,01,1,5,C08,384000
0160316021,1,03,2,5,C10,150
0160316021,1,03,2,5,C00,4350
0160316021,1,03,2,5,C08,4200
0160316023,1,03,2,5,C10,1000
0160316023,1,03,2,5,C08,7200
0160316023,1,03,2,5,C00,8450
0160316023,1,03,2,5,C06,250
0160316024,1,01,2,5,C08,12000
0160316024,1,01,2,5,C00,12000
0160317512,1,02,1,5,C10,200
0160317512,1,02,1,4,B15,600
0160317512,1,02,1,5,C07,3000
0160317512,1,02,1,4,B00,6100
0160317512,1,02,1,4,B02,3000
0160317512,1,02,1,4,B07,1000
0160317512,1,02,1,4,B10,1000
0160317512,1,02,1,5,C01,3000
0160317512,1,02,1,5,C00,36200
0160317512,1,02,1,5,C08,30000
0160317512,1,02,1,4,B11,500
0160317717,1,01,1,4,B10,300
0160317717,1,01,1,4,B07,1500
0160317717,1,01,1,4,B06,5760
0160317717,1,01,1,4,B00,27860
0160317717,1,01,1,4,B11,300
0160317717,1,01,1,4,B15,20000
0160317923,1,01,1,4,B11,600
0160317923,1,01,1,4,B00,7350
0160317923,1,01,1,4,B02,4500
0160317923,1,01,1,4,B07,2250
0160318022,1,01,1,4,B07,340
0160318022,1,01,1,5,C00,1755
0160318022,1,01,1,5,C07,1500
0160318022,1,01,1,5,C08,255
0160318022,1,01,1,4,B00,10340
0160318022,1,01,1,4,B02,3000
0160318022,1,01,1,4,B06,7000
0160318813,1,01,1,4,B10,3800
0160318813,1,01,1,4,B11,1000
0160318813,1,01,1,5,C08,12000
0160318813,1,01,1,5,C10,1300
0160318813,1,01,1,5,C00,13300
